,Act_id,Act_name
0,0,Song Kang-ho
1,1,Lee Sun-kyun
2,2,Jo Yeo-jeong
3,3,Choi Woo-sik
4,4,Humphrey Bogart
5,5,Ingrid Bergman
6,6,Paul Henreid
7,7,Claude Rains
8,8,Bette Davis
9,9,Anne Baxter
10,10,Celeste Holm
11,11,George Sanders
12,12,Marlon Brando
13,13,Eva Marie Saint
14,14,Karl Malden
15,15,Lee J. Cobb
16,16,Mahershala Ali
17,17,Alex R. Hibbert
18,18,Ashton Sanders
19,19,Trevante Rhodes
20,20,Liam Neeson
21,21,Ben Kingsley
22,22,Ralph Fiennes
23,23,Caroline Goodall
24,24,Claudette Colbert
25,25,Clark Gable
26,26,Walter Connolly
27,27,Roscoe Karns
28,28,Laurence Olivier
29,29,Joan Fontaine
30,30,Judith Anderson
31,31,Lew Ayres
32,32,Louis Wolheim
33,33,John Wray
34,34,Raymond Griffith
35,35,George O'Brien
36,36,Janet Gaynor
37,37,Margaret Livingston
38,38,Bodil Rosing
39,39,Mark Ruffalo
40,40,Michael Keaton
41,41,Rachel McAdams
42,42,Liev Schreiber
43,43,Jeremy Renner
44,44,Anthony Mackie
45,45,Brian Geraghty
46,46,Guy Pearce
47,47,Al Pacino
48,48,James Caan
49,49,Richard S. Castellano
50,50,Woody Allen
51,51,Diane Keaton
52,52,Tony Roberts
53,53,Carol Kane
54,54,Fredric March
55,55,Myrna Loy
56,56,Dana Andrews
57,57,Teresa Wright
58,58,Broderick Crawford
59,59,Joanne Dru
60,60,Mercedes McCambridge
61,61,John Ireland
62,62,Ray Milland
63,63,Jane Wyman
64,64,Howard Da Silva
65,65,Phillip Terry
66,66,Ben Affleck
67,67,Bryan Cranston
68,68,Alan Arkin
69,69,John Goodman
70,70,Robert Duvall
71,71,Robert De Niro
72,72,Clint Eastwood
73,73,Gene Hackman
74,74,Morgan Freeman
75,75,Richard Harris
76,76,William Holden
77,77,Alec Guinness
78,78,Sessue Hayakawa
79,79,Jack Hawkins
80,80,Fernando Rey
81,81,Roy Scheider
82,82,Tony Lo Bianco
83,83,Sidney Poitier
84,84,Rod Steiger
85,85,Warren Oates
86,86,Quentin Dean
87,87,Ernest Borgnine
88,88,Betsy Blair
89,89,Joe Mantell
90,90,Esther Minciotti
91,91,Charles Laughton
92,92,Franchot Tone
93,93,Herbert Mundin
94,94,Jean Simmons
95,95,Basil Sydney
96,96,Eileen Herlie
97,97,Chiwetel Ejiofor
98,98,Michael Fassbender
99,99,Benedict Cumberbatch
100,100,Paul Dano
101,101,Jean Dujardin
102,102,Bérénice Bejo
103,103,James Cromwell
104,104,Jodie Foster
105,105,Anthony Hopkins
106,106,Scott Glenn
107,107,Ted Levine
108,108,Gene Kelly
109,109,Leslie Caron
110,110,Oscar Levant
111,111,Georges Guétary
112,112,Audrey Hepburn
113,113,Rex Harrison
114,114,Stanley Holloway
115,115,Wilfrid Hyde-White
116,116,Michelle Yeoh
117,117,Stephanie Hsu
118,118,Ke Huy Quan
119,119,James Hong
120,120,Colin Firth
121,121,Geoffrey Rush
122,122,Helena Bonham Carter
123,123,Emilia Jones
124,124,Troy Kotsur
125,125,Marlee Matlin
126,126,Eugenio Derbez
127,127,Elijah Wood
128,128,Ian McKellen
129,129,Liv Tyler
130,130,Viggo Mortensen
131,131,Peter O'Toole
132,132,Anthony Quinn
133,133,Omar Sharif
134,134,Jack Lemmon
135,135,Shirley MacLaine
136,136,Fred MacMurray
137,137,Ray Walston
138,138,Jean Arthur
139,139,Lionel Barrymore
140,140,James Stewart
141,141,Edward Arnold
142,142,Greer Garson
143,143,Walter Pidgeon
