,movie_key,actor
0,0,Song Kang-ho
1,0,Lee Sun-kyun
2,0,Jo Yeo-jeong
3,0,Choi Woo-sik
4,1,Humphrey Bogart
5,1,Ingrid Bergman
6,1,Paul Henreid
7,1,Claude Rains
8,2,Bette Davis
9,2,Anne Baxter
10,2,Celeste Holm
11,2,George Sanders
12,3,Marlon Brando
13,3,Eva Marie Saint
14,3,Karl Malden
15,3,Lee J. Cobb
16,4,Mahershala Ali
17,4,Alex R. Hibbert
18,4,Ashton Sanders
19,4,Trevante Rhodes
20,5,Liam Neeson
21,5,Ben Kingsley
22,5,Ralph Fiennes
23,5,Caroline Goodall
24,6,Claudette Colbert
25,6,Clark Gable
26,6,Walter Connolly
27,6,Roscoe Karns
28,7,Laurence Olivier
29,7,Joan Fontaine
30,7,Judith Anderson
31,7,George Sanders
32,8,Lew Ayres
33,8,Louis Wolheim
34,8,John Wray
35,8,Raymond Griffith
36,9,George O'Brien
37,9,Janet Gaynor
38,9,Margaret Livingston
39,9,Bodil Rosing
40,10,Mark Ruffalo
41,10,Michael Keaton
42,10,Rachel McAdams
43,10,Liev Schreiber
44,11,Jeremy Renner
45,11,Anthony Mackie
46,11,Brian Geraghty
47,11,Guy Pearce
48,12,Marlon Brando
49,12,Al Pacino
50,12,James Caan
51,12,Richard S. Castellano
52,13,Woody Allen
53,13,Diane Keaton
54,13,Tony Roberts
55,13,Carol Kane
56,14,Fredric March
57,14,Myrna Loy
58,14,Dana Andrews
59,14,Teresa Wright
60,15,Broderick Crawford
61,15,Joanne Dru
62,15,Mercedes McCambridge
63,15,John Ireland
64,16,Ray Milland
65,16,Jane Wyman
66,16,Howard Da Silva
67,16,Phillip Terry
68,17,Ben Affleck
69,17,Bryan Cranston
70,17,Alan Arkin
71,17,John Goodman
72,18,Al Pacino
73,18,Robert Duvall
74,18,Diane Keaton
75,18,Robert De Niro
76,19,Clint Eastwood
77,19,Gene Hackman
78,19,Morgan Freeman
79,19,Richard Harris
80,20,William Holden
81,20,Alec Guinness
82,20,Sessue Hayakawa
83,20,Jack Hawkins
84,21,Gene Hackman
85,21,Fernando Rey
86,21,Roy Scheider
87,21,Tony Lo Bianco
88,22,Sidney Poitier
89,22,Rod Steiger
90,22,Warren Oates
91,22,Quentin Dean
92,23,Ernest Borgnine
93,23,Betsy Blair
94,23,Joe Mantell
95,23,Esther Minciotti
96,24,Charles Laughton
97,24,Clark Gable
98,24,Franchot Tone
99,24,Herbert Mundin
100,25,Laurence Olivier
101,25,Jean Simmons
102,25,Basil Sydney
103,25,Eileen Herlie
104,26,Chiwetel Ejiofor
105,26,Michael Fassbender
106,26,Benedict Cumberbatch
107,26,Paul Dano
108,27,Jean Dujardin
109,27,Bérénice Bejo
110,27,John Goodman
111,27,James Cromwell
112,28,Jodie Foster
113,28,Anthony Hopkins
114,28,Scott Glenn
115,28,Ted Levine
116,29,Gene Kelly
117,29,Leslie Caron
118,29,Oscar Levant
119,29,Georges Guétary
120,30,Audrey Hepburn
121,30,Rex Harrison
122,30,Stanley Holloway
123,30,Wilfrid Hyde-White
124,31,Michelle Yeoh
125,31,Stephanie Hsu
126,31,Ke Huy Quan
127,31,James Hong
128,32,Colin Firth
129,32,Geoffrey Rush
130,32,Helena Bonham Carter
131,32,Guy Pearce
132,33,Emilia Jones
133,33,Troy Kotsur
134,33,Marlee Matlin
135,33,Eugenio Derbez
136,34,Elijah Wood
137,34,Ian McKellen
138,34,Liv Tyler
139,34,Viggo Mortensen
140,35,Peter O'Toole
141,35,Alec Guinness
142,35,Anthony Quinn
143,35,Omar Sharif
144,36,Jack Lemmon
145,36,Shirley MacLaine
146,36,Fred MacMurray
147,36,Ray Walston
148,37,Jean Arthur
149,37,Lionel Barrymore
150,37,James Stewart
151,37,Edward Arnold
152,38,Greer Garson
153,38,Walter Pidgeon
154,38,Dame May Whitty
155,38,Teresa Wright
156,39,Clara Bow
157,39,"Charles ""Buddy"" Rogers"
158,39,Richard Arlen
159,39,Jobyna Ralston
160,40,Cillian Murphy
161,40,Emily Blunt
162,40,Robert Downey Jr.
163,40,Matt Damon
164,41,Frances McDormand
165,41,David Strathairn
166,41,Linda May
167,41,Swankie
168,42,Tommy Lee Jones
169,42,Javier Bardem
170,42,Josh Brolin
171,42,Woody Harrelson
172,43,Jack Nicholson
173,43,Louise Fletcher
174,43,Brad Dourif
175,43,William Redfield
176,44,Paul Newman
177,44,Robert Redford
178,44,Robert Shaw
179,44,Charles Durning
180,45,Walter Pidgeon
181,45,Maureen O'Hara
182,45,Roddy McDowall
183,45,Donald Crisp
184,46,Sally Hawkins
185,46,Michael Shannon
186,46,Richard Jenkins
187,46,Octavia Spencer
188,47,Joseph Fiennes
189,47,Gwyneth Paltrow
190,47,Geoffrey Rush
191,47,Judi Dench
192,48,Natalie Wood
193,48,Richard Beymer
194,48,Russ Tamblyn
195,48,George Chakiris
196,49,Sylvester Stallone
197,49,Talia Shire
198,49,Burgess Meredith
199,49,Burt Young
200,50,Paul Muni
201,50,Joseph Schildkraut
202,50,Gale Sondergaard
203,50,Gloria Holden
204,51,Michael Keaton
205,51,Zach Galifianakis
206,51,Ed Norton
207,51,Andrea Riseborough
208,52,Dev Patel
209,52,Freida Pinto
210,52,Madhur Mittal
211,52,Anil Kapoor
212,53,Leonardo DiCaprio
213,53,Matt Damon
214,53,Jack Nicholson
215,53,Mark Wahlberg
216,54,George C. Scott
217,54,Karl Malden
218,54,Michael Bates
219,54,Edward Binns
220,55,Clint Eastwood
221,55,Hilary Swank
