,Rank,Title,Rel_Year,Rating,movie_key
0,#1,Parasite,2019,99,0
1,#2,Casablanca,1942,99,1
2,#3,All About Eve,1950,99,2
3,#4,On the Waterfront,1954,99,3
4,#5,Moonlight,2016,98,4
5,#6,Schindler's List,1993,98,5
6,#7,It Happened One Night,1934,98,6
7,#8,Rebecca,1940,98,7
8,#9,All Quiet on the Western Front,1930,98,8
9,#10,Sunrise,1927,98,9
10,#11,Spotlight,2015,97,10
11,#12,The Hurt Locker,2008,96,11
12,#13,The Godfather,1972,97,12
13,#14,Annie Hall,1977,97,13
14,#15,The Best Years of Our Lives,1946,97,14
15,#16,All the King's Men,1949,97,15
16,#17,The Lost Weekend,1945,97,16
17,#18,Argo,2012,96,17
18,#19,"The Godfather, Part II",1974,96,18
19,#20,Unforgiven,1992,96,19
20,#21,The Bridge on the River Kwai,1957,96,20
21,#22,The French Connection,1971,96,21
22,#23,In the Heat of the Night,1967,96,22
23,#24,Marty,1955,96,23
24,#25,Mutiny on the Bounty,1935,96,24
25,#26,Hamlet,1948,96,25
26,#27,12 Years a Slave,2013,95,26
27,#28,The Artist,2011,95,27
28,#29,The Silence of the Lambs,1991,95,28
29,#30,An American in Paris,1951,95,29
30,#31,My Fair Lady,1964,95,30
31,#32,Everything Everywhere All at Once,2022,93,31
32,#33,The King's Speech,2010,94,32
33,#34,CODA,2021,94,33
34,#35,The Lord of the Rings: The Return of the King,2003,94,34
35,#36,Lawrence of Arabia,1962,93,35
36,#37,The Apartment,1960,94,36
37,#38,You Can't Take It With You,1938,94,37
38,#39,Mrs. Miniver,1942,93,38
39,#40,Wings,1927,94,39
40,#41,Oppenheimer,2023,93,40
41,#42,Nomadland,2020,93,41
42,#43,No Country for Old Men,2007,93,42
43,#44,One Flew Over the Cuckoo's Nest,1975,93,43
44,#45,The Sting,1973,93,44
45,#46,How Green Was My Valley,1941,93,45
46,#47,The Shape of Water,2017,92,46
47,#48,Shakespeare in Love,1998,92,47
48,#49,West Side Story,1961,92,48
49,#50,Rocky,1976,92,49
50,#51,The Life of Emile Zola,1937,92,50
51,#52,Birdman or (The Unexpected Virtue of Ignorance),2014,91,51
52,#53,Slumdog Millionaire,2008,91,52
53,#54,The Departed,2006,91,53
54,#55,Patton,1970,91,54
55,#56,Million Dollar Baby,2004,90,55
56,#57,Gone With the Wind,1939,90,56
57,#58,Oliver!,1968,90,57
58,#59,Amadeus,1984,89,58
59,#60,Platoon,1986,89,59
60,#61,Midnight Cowboy,1969,89,60
61,#62,Gandhi,1982,89,61
62,#63,Ordinary People,1980,89,62
63,#64,Kramer vs. Kramer,1979,89,63
64,#65,A Man for All Seasons,1966,89,64
65,#66,Titanic,1997,88,65
66,#67,Rain Man,1988,88,66
67,#68,From Here to Eternity,1953,88,67
68,#69,Gigi,1958,88,68
69,#70,American Beauty,1999,87,69
70,#71,Dances With Wolves,1990,87,70
71,#72,Grand Hotel,1932,87,71
72,#73,Chicago,2002,86,72
73,#74,The Deer Hunter,1978,86,73
74,#75,The Last Emperor,1987,86,74
75,#76,The English Patient,1996,86,75
76,#77,Driving Miss Daisy,1989,85,76
77,#78,Ben-Hur,1959,85,77
78,#79,Chariots of Fire,1981,83,78
79,#80,The Sound of Music,1965,83,79
80,#81,Terms of Endearment,1983,82,80
81,#82,Gentleman's Agreement,1947,82,81
82,#83,Tom Jones,1963,81,82
83,#84,Gladiator,2000,80,83
84,#85,Green Book,2018,77,84
85,#86,Forrest Gump,1994,76,85
86,#87,Braveheart,1995,76,86
87,#88,Crash,2004,74,87
88,#89,A Beautiful Mind,2001,74,88
89,#90,Going My Way,1944,83,89
90,#91,Around the World in 80 Days,1956,72,90
91,#92,The Great Ziegfeld,1936,71,91
92,#93,Cavalcade,1933,66,92
93,#94,Out of Africa,1985,62,93
94,#95,The Greatest Show on Earth,1952,50,94
95,#96,Cimarron,1931,50,95
96,#97,The Broadway Melody,1929,42,96
